,product,link
0,"Air taxi startup Joby to go public in $6.6 billion blank-check deal
Joby Aviation, the 12-year-old electric air taxi startup partnered with Toyota Motor Corp and Uber Technologies, will go public in a $6.6 billion reverse merger with blank check company Reinvent Technology Partners, the firms said on Wednesday.
FEB 24 2021",https://www.reuters.com/article/us-joby-aviation-m-a/air-taxi-startup-joby-to-go-public-in-6-6-billion-blank-check-deal-idUSKBN2AO1FG
1,"India approves $1 billion plan to boost IT product exports
India on Wednesday approved a 73.5 billion rupee ($1.02 billion) plan to boost local manufacturing and exports of IT products such as laptops, tablets, personal computers and servers, the technology minister said.
FEB 24 2021",https://www.reuters.com/article/us-india-manufacturing/india-approves-1-billion-plan-to-boost-it-product-exports-idUSKBN2AO15N
2,"Russian online retailer Wildberries enters three European markets
Wildberries, one of Russia's largest shopping sites said on Wednesday it was entering France, Italy and Spain.
FEB 24 2021",https://www.reuters.com/article/us-wildberries-europe/russian-online-retailer-wildberries-enters-three-european-markets-idUSKBN2AO19D
3,"California to enforce net neutrality after judge rejects challenge by internet providers
California should soon implement its landmark net neutrality law under a judge's ruling on Tuesday, nearly three years after the state legislature enacted the measure, the state attorney general's office said.
FEB 24 2021",https://www.reuters.com/article/us-usa-internet-california/california-to-enforce-net-neutrality-after-judge-rejects-challenge-by-internet-providers-idUSKBN2AO00U
4,"Indian central bank has ""major concerns"" over cryptocurrencies: Governor Das
India's central bank has ""major concerns"" about cryptocurrencies, Governor Shaktikanta Das said on Wednesday, flagging potential risks to financial stability.
FEB 24 2021",https://www.reuters.com/article/us-crypto-currency-india/indian-central-bank-has-major-concerns-over-cryptocurrencies-governor-das-idUSKBN2AO12W
5,"Deutsche Bank and Mastercard to deepen cooperation on payments
Deutsche Bank and Mastercard said on Wednesday they would deepen their collaboration as the German lender aims for a greater share of the payments business.
FEB 24 2021",https://www.reuters.com/article/us-deutsche-bank-mastercard-payments/deutsche-bank-and-mastercard-to-deepen-cooperation-on-payments-idUSKBN2AO116
6,"Hyundai Motor to replace battery systems in $900 million electric car recall
Hyundai Motor Co will replace battery systems in some 82,000 electric vehicles globally due to fire risks - a costly $900 million recall that lays bare the thorny issue of how car and battery makers split the bill when problems arise.
FEB 24 2021",https://www.reuters.com/article/us-hyundai-motor-electric-recall/hyundai-motor-to-replace-battery-systems-in-900-million-electric-car-recall-idUSKBN2AO0JS
7,"Nokia wins 5G order from Philippines' Globe Telecom
Finnish telecom network equipment maker Nokia on Wednesday said it has won an order from Globe Telecom to build a 5G network to the Philippines' second and third largest islands Mindanao and Visayas.
FEB 24 2021",https://www.reuters.com/article/us-tech-5g-nokia/nokia-wins-5g-order-from-philippines-globe-telecom-idUSKBN2AO0ZY
8,"SK Hynix signs five-year deal worth $4.3 billion with ASML to secure EUV scanners
SK Hynix, world's second-largest memory chip maker, said on Wednesday it had agreed a five-year procurement contract worth 4.8 trillion won ($4.34 billion) with ASML Holding N.V. to secure extreme ultraviolet (EUV) scanners used in manufacturing chips.
FEB 24 2021",https://www.reuters.com/article/us-sk-hynix-asml-holding/sk-hynix-signs-five-year-deal-worth-4-3-billion-with-asml-to-secure-euv-scanners-idUSKBN2AO0YB
9,"Singapore trials Smartphone app offering mini check-ups
Each morning before work at a Singapore construction site, Gunasekar Udayakumar, 41, gets his vital signs checked, without going to a clinic, or even seeing a nurse.
FEB 24 2021",https://www.reuters.com/article/us-health-coronavirus-singapore-app/singapore-trials-smartphone-app-offering-mini-check-ups-idUSKBN2AO042
10,"Impeachment expert says Trump's lawyers distorted his work 'quite badly'
A U.S. law professor who studies impeachment says former President Donald Trump's lawyers misrepresented his research in a brief laying out arguments they will make at his U.S. Senate impeachment trial that starts on Tuesday.",https://www.reuters.com/article/us-usa-trump-impeachment-expert/impeachment-expert-says-trumps-lawyers-distorted-his-work-quite-badly-idUSKBN2A82AE
11,U.S. Senator Shelby will not seek reelection: statement,https://www.reuters.com/article/us-usa-election-senate-alabama/u-s-senator-shelby-will-not-seek-reelection-statement-idUSKBN2A820X
12,White House press secretary not aware of Trump request for intelligence briefing,https://www.reuters.com/article/us-usa-biden-intelligence/white-house-press-secretary-not-aware-of-trump-request-for-intelligence-briefing-idUSKBN2A8233
